"","length_own","length_matdis","length_bond","length_illchild","length_illparent","length_illspouse","resp_len","unaffordable","recStatePay","weight"
"2415",NA,0,0,0,0,0,0,NA,0,13818.5657626225
"1106",3,0,0,0,0,0,1,0,NA,29342.6097491823
"2524",35,0,0,0,0,0,0,NA,0,9422.36058905832
"2252",0,0,0,0,0,0,0,NA,NA,38524.5648183069
"531",0,0,5,0,0,0,0,NA,1,26083.8550870434
"791",5,0,0,0,0,0,0,NA,0,21188.530197242
"2764",20,0,0,0,0,0,0,NA,0,56305.4319648913
"878",0,0,0,5,0,0,1,NA,0,22755.8641154493
"2341",10,0,0,0,0,0,1,NA,0,13906.5741158565
"76",0,0,0,0,0,0,1,NA,0,8718.57869906758
"197",0,0,0,0,0,0,0,NA,0,44128.1445152274
"1634",0,0,0,0,0,0,1,1,NA,6878.41703420464
"597",4,0,0,0,0,0,0,NA,0,9139.67467222419
"453",0,0,0,0,0,15,1,NA,0,41362.2888429584
"1846",0,0,0,0,0,0,0,NA,NA,14325.1247972051
"843",0,0,0,0,0,0,0,NA,NA,5072.2452127301
"1124",0,0,0,0,0,0,0,NA,NA,85554.1180578715
